,cleaned_tweet,cls,count,hate_speech,off_lang,neither
0,western jihadi fanboys use of language peppering sentences with arabic words to sound knowledgeable comical,2.0,3.0,0.0,0.0,3.0
1,rihanna must got the holy grail of pussy 128514,1.0,3.0,0.0,3.0,0.0
2,uncle tom hypocrite,0.0,6.0,3.0,2.0,1.0
3,rt best friend being a hoe yaaas hunty hoe it up slaaaayy stranger being a hoe you re so trashy you re what s wrong wit 8230,1.0,3.0,0.0,3.0,0.0
4,greatest 10 the truth hurts nigguh,1.0,3.0,0.0,3.0,0.0
5,im gonna rip that bitch apart rip what apart lol,1.0,3.0,0.0,3.0,0.0
6,i don t live for you hoes man,1.0,3.0,0.0,3.0,0.0
7,guamo i m assuming it would look something like a bitch slap and a dickpunch,1.0,3.0,0.0,3.0,0.0
8,its mutual my lil yellow bone 127827,2.0,3.0,0.0,1.0,2.0
9,scenario yeah so you better play with me ya nigger,0.0,3.0,2.0,1.0,0.0
10,they always put gingers in red yellow or leopard print,1.0,3.0,0.0,2.0,1.0
11,rt notoyota 8220 king was fire rt king ti vs tip and that troubleman albums all trash 8221 most def,1.0,3.0,0.0,2.0,1.0
12,you been the side hoe 128514 128514 128514 128128 128128 128074,1.0,3.0,0.0,3.0,0.0
13,got cramps bitches smokeweed teamloudpack,1.0,3.0,0.0,3.0,0.0
14,rt imtrillasfuk a girl knows when a bitch likes her boyfriend 128564 128080,1.0,3.0,0.0,3.0,0.0
15,rt i didn t go wrong when i started talking to you i went wrong when i trusted your bitch ass,1.0,3.0,0.0,3.0,0.0
16,and i was like yeah bitch,1.0,6.0,0.0,6.0,0.0
17,those trash snd stars would scrape ur team in snd and most pro teams,2.0,3.0,0.0,0.0,3.0
18,eh take off hoser,2.0,3.0,0.0,0.0,3.0
19,i was kidding guys i don t have hoes don t let lie to y all,1.0,3.0,0.0,3.0,0.0
20,answers you gots da bet and da msnbc wit dat colored reverend who only listen to coloreds what else i missing,0.0,3.0,2.0,1.0,0.0
21,rt fellas remember to stock up on thermals and timbs before the dykes buy them all,1.0,3.0,0.0,3.0,0.0
22,rt all hoes lie,1.0,3.0,0.0,3.0,0.0
23,rt 97 8220 a loyal girl truly does come with a smart mouth amp arguments only a hoe will let you do as you please cause she 8230,1.0,3.0,0.0,3.0,0.0
24,rt when u start realizing that bae is a hoe,1.0,3.0,0.0,3.0,0.0
25,that white bitch is a g for choppin that whole line of niggas 128514 128514,1.0,3.0,1.0,2.0,0.0
26,rt working out with the hoes,1.0,3.0,0.0,3.0,0.0
27,who ever said this is so dumb my moms a cop amp ill have her track you down for being a lil bitch kay bye,1.0,3.0,0.0,3.0,0.0
28,i wish i had a reason to buy a suit for a wedding but clearly bitches dont know what those are,1.0,3.0,0.0,3.0,0.0
29,rt trucker to fez your nipples couldn t be covered by two trash can lids,1.0,3.0,0.0,3.0,0.0
30,8220 mahoganylov3 right rt idk which one was selling pussy for 65 but that 8217 s way too high for them,1.0,3.0,0.0,3.0,0.0
31,hold up lebron ain t at dwade wedding if he got uninvited for leaving miami that s some hoe shit see y all so quick to call some1 brother,1.0,3.0,0.0,3.0,0.0
32,lmao fucking bitch ima whoop you like a did yesterday but i m trying to update the roster you down,1.0,3.0,0.0,3.0,0.0
33,rt i do not have bitch tits,1.0,6.0,0.0,6.0,0.0
34,rt real rt few things worse than forcing a conversation with a dumb bitch,1.0,3.0,0.0,3.0,0.0
35,cruisin round the street in my 64 jockin the bitches slappin the hoes,1.0,3.0,0.0,3.0,0.0
36,pau pissed me off like boozer pissed off bulls fan 2 soft faggots,1.0,3.0,0.0,3.0,0.0
